name,datetime,department_id,job_id
Jennifer Bell,1986-06-09 03:10:53.955128,5,5
Thomas Lopez,2009-04-06 16:34:36.998940,7,8
Patricia Nichols,1977-02-20 14:05:24.930608,5,6
Carlos Foley,2013-10-27 17:54:41.420610,8,3
Janet Lawson,1988-10-29 07:41:25.471964,9,1
Katherine Garrison,1980-05-10 20:18:03.498754,10,2
William Henry,2008-12-27 08:40:20.615996,2,1
Shannon Ware,1971-02-06 15:17:38.959416,3,10
Jennifer Gomez,1991-12-29 15:47:22.226512,9,4
Christopher White,2011-02-07 08:25:05.450771,6,3
Brooke Hawkins,2015-05-11 16:45:55.168239,2,2
Logan Jordan,2012-01-06 15:12:19.747529,8,7
Michael Jackson,1979-09-26 17:05:09.551227,4,6
Molly Newton,2021-03-25 14:24:01.462738,1,7
Nicholas Kelly,1999-05-30 21:11:23.483571,10,2
Ernest Harris,2001-08-07 05:13:59.602514,1,10
Patrick Lawson,2011-11-02 20:59:06.448858,4,10
Michael Buck,1985-01-01 21:25:07.217785,3,1
Seth Reynolds,1996-01-11 07:46:51.428806,3,10
Thomas Bell,1988-05-07 23:43:35.745723,3,8
Amy Snyder,1991-08-27 20:08:24.912219,9,9
Cynthia Dawson,1976-09-13 01:09:57.563422,1,5
Miranda Sanchez,2008-01-25 23:09:43.662206,7,1
Caleb Hicks,1991-11-30 13:12:35.235590,2,6
Adam Schultz,1982-10-21 20:02:13.550343,4,7
Neil Bell,2004-09-24 21:43:54.315957,10,7
Tonya Ward,2014-11-23 07:14:00.190259,9,10
Karen Harris,1980-11-22 21:56:25.543043,4,8
Karen Sanchez,2012-04-03 02:38:14.244432,7,3
Seth Sawyer,1973-09-11 12:53:47.465995,8,8
Jeremy Baker,2010-12-23 02:29:52.656354,1,7
Katherine Weber,1992-04-16 20:24:34.542574,5,6
Jamie Thompson,1999-05-13 04:00:18.970807,4,7
George Martinez,1992-08-08 05:38:01.108754,9,4
Grant Hernandez,2001-05-01 04:25:28.149223,4,3
Andrea Washington,1974-09-29 11:24:38.092005,9,3
Patrick Martinez,2011-01-28 15:33:40.363629,1,4
Maria Wu,2021-05-31 19:15:25.000636,3,2
Christopher Baker,1987-02-04 04:37:52.562995,10,5
Michele Lopez,2007-02-14 18:33:45.453386,1,3
Scott Huff,2015-05-07 12:03:41.979145,8,6
Jordan Armstrong,2022-01-20 02:40:22.395453,10,1
Jill Dean,2006-02-04 17:14:31.720659,4,5
Eric Beasley,1975-10-30 02:19:40.430864,3,4
Erin Sanchez,2015-04-12 18:43:46.798543,1,8
Mercedes Ryan,2016-12-27 20:03:58.598923,9,1
Ashley Lucas,2022-07-07 12:56:13.866929,6,10
Mary English,1978-04-29 00:18:14.582015,6,4
Steven Chang,2017-02-26 08:34:26.140540,9,6
Andrew Martin,2024-06-28 10:11:48.549821,7,7
Russell Mathews,1991-05-25 11:17:22.876537,4,10
Angela Hall,1976-07-31 23:45:08.438030,3,3
Christopher Lyons,1987-01-29 18:27:39.201487,6,9
Peter Flores,1993-04-20 15:09:41.225129,5,5
Ryan Bell,2000-09-18 10:51:57.847025,8,2
Ryan Ward,1998-10-23 12:54:35.710936,7,1
Jennifer Gonzalez,1989-02-23 03:00:06.874814,8,10
Nina Burgess,1992-02-18 11:50:37.887367,8,8
Jerry Jones,1973-02-15 04:12:38.569754,8,1
Taylor Phelps,1977-06-03 18:55:01.444910,8,5
Jonathan Baker,2010-08-05 13:54:18.832871,4,5
Richard Anderson,1991-10-21 15:05:44.000567,9,5
Timothy Martin,1993-12-31 03:28:39.840980,10,5
Daniel Morgan,2011-08-07 12:53:49.156203,9,2
Debbie Flores,1988-09-23 08:59:08.774925,9,9
Lindsey Romero,1974-02-26 06:24:17.666619,3,9
Sharon Santiago MD,1981-07-12 14:35:15.092236,8,7
John Price,1971-09-25 14:31:07.886415,4,9
Sabrina Miller,2011-11-03 01:34:07.981960,6,5
Casey Dennis,1976-02-03 22:01:44.416340,6,5
Nicole Russell,1997-08-30 02:45:42.184792,4,4
Scott Stewart,2017-05-27 14:14:12.813490,6,10
Andrea Mann,2022-08-17 12:49:09.908506,7,9
Stephanie Daugherty,2017-08-21 08:40:44.579338,6,3
Marissa Moreno,1995-12-04 09:03:26.723917,9,8
Andrew Quinn,2006-08-31 00:26:47.203172,5,7
Wendy Lopez,2007-04-14 01:27:25.090628,1,8
Cindy Graham,2003-07-25 16:10:34.632584,7,10
John Ingram,2002-05-05 14:32:08.960260,5,10
Gabrielle Baker,1995-02-22 22:29:39.720587,8,1
Danny Jones,2021-07-15 16:44:24.009078,2,4
Rita Khan,1971-02-08 17:40:16.969964,6,7
Alvin Coleman,2015-01-15 04:06:23.338789,6,8
Laurie Forbes,1973-06-22 08:28:05.596757,8,4
Mark Watts,2011-12-11 20:17:24.439545,2,10
Bobby Brady,2018-08-05 21:20:41.184069,6,6
Amy Jensen,1970-10-13 03:57:31.969929,1,7
Christina Brown,2016-05-21 07:39:59.168551,2,6
Samantha Brown,1987-06-14 17:56:33.924895,10,1
Amanda Sweeney,2012-09-04 14:39:15.553581,9,8
Randy Sullivan,2009-05-26 18:43:52.226061,8,8
Erin Alexander,1982-11-02 11:43:21.772044,7,4
Kelly Andersen,1974-11-25 12:42:20.817863,3,5
Luis Keller,1997-12-22 22:03:03.555454,7,6
Jon Marshall,1989-09-13 05:54:00.569176,3,8
Dr. Kimberly Stewart,1989-08-03 05:15:18.670941,2,10
Robert Ramos,2017-10-10 18:28:53.417240,9,7
Nancy Romero,2020-04-18 03:11:11.216360,3,2
Ethan Gutierrez,2021-02-16 21:11:20.674206,9,5
Monica Phillips,2014-04-24 13:53:34.877505,8,1
Adrienne Cortez,2001-08-01 08:10:01.601431,5,9
Donna Rodriguez,1988-01-05 22:11:04.997570,5,5
Luis Brown,1978-08-04 21:17:09.448705,1,9
Julie Lee,2006-01-15 02:44:38.454052,4,2
Victoria Miller,1981-04-22 11:35:06.907095,4,6
Matthew Barrera,2000-05-11 13:06:55.541209,7,1
Amy Wade,1997-11-05 05:54:53.492612,9,5
Joshua Martinez,1976-06-01 11:00:15.670531,10,6
Christopher Gill,1981-05-29 02:18:50.514208,4,6
Brandon Ferguson,1997-07-02 14:15:18.275379,1,7
Colleen Fox,2015-12-14 03:44:52.986419,6,5
Nicole Stokes,2016-06-16 06:00:39.294741,10,9
Hunter Sanchez Jr.,2019-09-09 19:03:31.815213,3,4
Veronica Wilson DDS,1979-07-31 04:24:23.738846,2,7
Daniel Bailey,1988-05-21 02:56:44.768541,10,3
Jean Robinson,2018-10-16 15:11:53.627733,10,6
David Garcia,2016-09-04 21:49:09.767323,7,9
Amy Jones,2004-11-13 15:49:35.979778,8,9
Brian Figueroa,1975-05-01 03:20:06.540930,8,10
Vicki Sims,2014-12-25 22:03:50.848147,4,5
Melissa Rivera,1993-04-07 08:56:25.932800,8,9
Lisa Francis,2023-11-13 10:43:08.063900,5,7
Dr. Kristy Jackson,2011-01-13 19:34:47.066129,2,10
Mrs. Tracey Waters,2012-08-09 13:28:56.433367,8,8
Mary Hodge,1994-07-11 20:20:21.155828,2,9
Christopher Clark,2021-04-27 18:48:14.604841,9,8
Michael Ibarra,2003-05-06 10:31:51.541132,9,1
Kelly Henderson,1978-07-18 00:30:55.542275,1,5
Angelica Hill,2003-05-13 22:22:07.840239,9,9
Robert Livingston,2023-11-08 06:43:10.375118,9,7
Gregory Rodgers,1996-02-04 21:48:43.559263,5,9
David Mullen,1985-04-02 04:21:23.747014,10,8
Alex Mejia,1998-01-17 04:48:53.203309,1,8
Craig Stanley,1981-09-10 14:30:19.432236,10,8
Raymond Williams,2018-10-01 03:55:09.594344,8,2
Jennifer Shaw,2021-07-14 02:18:51.987583,6,3
Andre Garcia,1987-06-07 06:10:00.261157,9,1
John Osborne,1975-03-24 09:33:04.853467,10,1
Mary Richardson,2021-03-04 15:43:46.054470,4,3
Charles Walker,1976-09-15 00:28:20.084250,2,8
Patrick Baldwin,1989-01-18 08:26:22.814825,1,6
Mr. Derrick Reid,1980-05-10 06:47:49.941643,5,9
Ebony Miranda,2008-12-06 08:55:49.703792,4,5
Nicole Davis,2000-12-28 00:01:10.937006,8,5
Alisha Collins,2015-11-04 00:01:54.831052,9,2
Jeffrey Lucero,1973-06-08 15:21:29.754209,8,4
Mark Walker,1992-04-04 03:09:28.850080,7,8
Deanna Jones,2021-08-09 20:18:18.720115,8,1
Tyler Gibson,2011-12-30 05:37:35.510288,3,5
Misty Ruiz,2011-10-20 02:21:17.062112,2,9
Jennifer Wilson,2011-09-29 17:28:26.570022,6,7
Tina Perez,1975-07-30 23:48:09.033407,7,10
Jessica Lambert,1985-01-30 21:35:50.419660,1,3
David Bennett,1993-06-14 17:21:58.455226,5,8
Casey Sanchez,1973-10-26 20:30:32.669389,3,9
Penny Moran,2015-08-22 05:29:40.789747,3,3
Barbara Moses,1995-08-13 23:02:26.143945,9,4
Chelsea Harris,1982-09-02 20:08:07.380614,10,5
Haley Howard,1983-03-16 14:03:20.427975,4,6
Thomas Prince,1986-10-13 09:59:57.831384,1,7
Christopher Davis,1993-12-20 18:19:38.658996,7,6
Angela Hester,2020-05-06 04:49:15.767181,3,7
Robert Hansen,1973-05-22 16:57:02.200517,10,1
David Foster,2016-09-16 02:42:59.246504,8,10
Debra Ware,1982-10-06 06:19:01.167312,4,2
Jacob Douglas,1998-08-15 17:33:52.581006,10,8
Eileen Cortez,1988-02-24 19:19:31.051984,10,3
Andrea Gutierrez,1990-07-22 14:01:44.449204,1,1
Sarah Rangel,1999-10-05 23:56:42.229735,1,8
Bethany Stone,2000-04-20 17:59:02.598679,2,4
Matthew Mann,1993-09-14 05:32:49.679520,6,7
Jo Ferguson,1984-05-08 12:49:04.471811,6,5
Sydney Stewart,1979-10-15 11:41:57.982846,5,8
Matthew Delacruz,2022-09-11 05:34:13.599900,4,7
Mr. Timothy Harris,2019-08-27 10:21:29.235023,1,1
Calvin Steele,1984-10-05 17:39:36.954301,6,10
Luke Cummings,1973-01-25 02:45:52.829028,2,5
James Beasley,1984-04-02 07:05:45.457378,2,8
Elizabeth Houston,1973-09-30 12:52:20.739956,5,9
Clayton Elliott DDS,2015-06-20 07:10:52.417045,10,4
Charles Walker,1999-06-02 23:11:06.464581,5,1
Frank Short,2016-11-03 03:03:26.209508,8,3
Michael Maddox,1974-03-11 13:13:32.182950,6,3
Amanda Hanna,1989-04-17 22:42:50.185153,1,2
Tammie Nixon,1985-06-17 14:21:35.470306,7,2
John Johnson,1985-06-15 10:05:35.978689,6,5
Jeremy Mora,2011-05-17 09:49:43.683431,3,2
Audrey Watson,2003-06-19 11:37:06.788910,7,8
Scott Garza,2013-12-05 07:44:50.544630,2,7
Mathew Mccormick,1993-12-15 14:52:41.984318,10,10
John May,2012-04-25 12:03:29.995862,7,5
Victor Mack,1998-04-19 05:20:35.824170,10,10
Joseph Grant,2016-09-19 21:37:27.463408,3,3
Curtis Beck,1982-03-28 06:15:01.168585,7,7
Carlos Kirk,2014-11-26 13:36:35.919340,6,2
Christopher Allen,2007-11-13 23:08:10.076520,7,6
Amanda Morgan,1989-10-18 08:44:04.416625,7,7
Matthew Buck,1988-08-30 00:30:13.895355,9,2
Kirk Gamble,2016-08-08 19:04:46.293681,8,1
Jackie Luna,2014-07-16 14:36:22.933392,1,4
Jennifer Steele,1970-05-12 10:38:45.126758,9,7
David Peters,1993-07-31 20:08:51.178982,9,10
Jared Johnston,1986-05-08 03:46:20.535145,3,5
Matthew Mcdonald,2008-12-08 17:05:35.463536,3,6
Elizabeth Marshall,1979-03-22 13:09:01.714708,5,1
Terry Sanchez,1979-12-24 22:27:21.745083,3,1
Benjamin Huber,1991-07-02 11:11:31.474374,1,4
Jennifer Butler,2014-10-09 14:55:33.085347,6,3
Emily Guerrero,2018-08-03 11:15:06.494270,2,3
Brianna Buck,1999-08-16 08:40:09.147699,7,1
Allen Serrano,2002-01-17 23:16:03.913396,5,2
Nicole Vazquez,1973-11-23 12:37:20.705563,6,4
Jordan Mcgee,2008-06-05 13:05:22.397728,3,1
Erica Romero,2019-05-23 14:54:40.877425,9,7
Pamela Payne,2000-02-01 11:19:29.493036,2,5
Sheila Cox,2012-11-07 04:42:05.379098,6,3
Kristin Randolph,2009-11-05 12:22:36.780313,5,7
Terri Robertson MD,2011-02-23 11:54:48.883183,6,1
Stephanie Barnes,2004-11-21 07:44:49.844171,2,1
Heather Vasquez,2024-01-18 07:02:11.755963,3,4
Amber Phillips,1998-12-15 01:19:37.300726,2,3
Emily Grant,1981-07-21 06:48:26.926731,7,6
Jennifer Mcfarland,1980-04-01 20:04:58.008493,3,4
Brandon Hartman,1986-03-10 08:21:43.873392,10,8
Adam Wheeler,1985-08-11 19:00:38.238150,5,8
Jerry Jones,1997-05-04 18:22:37.971260,8,9
Jordan West,2016-12-17 09:26:23.931012,9,5
Mary Jackson,2008-10-04 12:40:25.818499,1,9
John Ruiz,2013-09-26 17:49:05.394734,4,7
Ryan Rowe,2009-02-25 11:13:12.060695,5,10
Jesus Rodriguez,1970-11-17 21:49:01.403675,6,10
Brittany Reed,2014-06-26 18:08:18.584372,2,3
George Wang,1996-12-29 23:42:34.621045,7,4
Regina Edwards,2021-09-28 23:53:36.853299,6,3
Roger Hood,1995-03-13 15:07:35.330459,1,10
Donna Webster,2009-07-25 10:40:37.523741,4,9
Joseph Rice MD,2006-07-09 05:45:44.341908,8,4
Richard Hernandez,1998-02-16 04:37:41.027091,9,5
Spencer Shepherd,1972-10-23 00:58:56.590136,5,9
Richard Lopez,2014-11-24 21:37:30.175770,10,6
Brittany Thomas,2018-04-14 12:36:55.209736,1,7
Justin Bond,1987-04-20 18:32:59.081221,7,7
Joel Carter,2011-03-13 23:30:56.700886,10,3
Stephen Conley,1979-11-12 07:25:50.074915,2,5
Benjamin Bridges,2024-07-09 22:06:05.878265,10,3
Courtney Mclean,2021-07-15 09:29:21.817339,9,10
Donald Little,1994-08-29 16:09:17.628956,3,5
Lindsey Richardson,1970-09-12 11:18:05.011063,9,2
Taylor Garner,1981-08-05 12:34:03.868465,6,3
Laura Owens,2016-01-06 05:01:14.509399,5,3
Richard Jones,1976-11-01 17:34:09.212686,1,3
Randy Woods,1976-12-27 04:55:42.151722,5,6
Deborah Baker,1995-12-30 18:13:14.682550,7,10
Mr. Corey Fields,1985-12-12 17:06:11.544049,6,10
Tommy Williams,2001-08-23 14:30:33.811895,3,4
Mrs. Donna Chapman,2005-04-12 16:27:16.996651,2,5
Mary Smith,1994-04-10 08:14:47.910018,4,1
Tim Shah,1989-03-11 18:12:05.314437,9,6
Kerry Krueger,1995-03-10 14:54:09.547721,2,1
Lori Silva,1973-01-17 13:30:50.195443,9,1
David Meadows,1980-07-14 09:55:02.315366,1,10
Emily Figueroa,1983-11-28 05:56:20.139045,10,1
Kathryn Blair,1984-11-14 00:27:52.931120,10,9
Gene Warren,2013-11-23 16:40:16.685021,9,10
Julie Nichols,1981-03-19 16:39:04.537516,5,3
Caitlyn Harrington,1980-01-21 10:32:30.174883,2,10
Lori Allen,2015-01-13 18:03:57.593343,8,7
Kelly Smith,1988-03-29 04:29:13.272173,8,5
Lauren Hoffman,2018-11-24 12:34:01.179498,8,1
Jonathan Mccormick,1992-07-12 19:21:05.570808,6,6
Jonathan Weaver,1999-09-06 08:04:51.405990,10,9
Phillip Robinson,1994-08-23 18:40:33.008623,5,8
Michael Browning,1976-07-01 13:44:33.099641,1,4
Beth Baker,1974-02-27 04:41:20.465080,10,7
Nancy Alvarez,2012-10-31 05:39:10.613902,8,6
Christopher Flowers,1977-07-07 18:03:52.465945,9,1
Amber West,1979-12-11 10:40:05.758690,2,9
Sierra Williams,2017-05-14 13:23:48.780166,9,4
Melanie Sawyer,2021-02-17 18:48:49.854518,1,6
Breanna Holt,1976-05-17 13:42:19.039280,4,8
Ruth Beard,2018-10-17 03:26:35.842201,2,10
Ronald Williams,2017-05-30 14:32:14.850116,6,7
John Smith,2015-12-02 02:09:20.955255,9,4
Bonnie Pena,2004-12-08 08:14:07.234019,3,5
Anthony Maldonado,2014-08-22 22:58:44.369562,10,1
Brent Page,1995-07-17 14:06:02.269215,8,3
Shelly Weber,1975-02-02 00:09:51.118554,1,9
Stephen Jenkins,1993-07-10 19:49:06.365781,4,9
Kathy Wood,2021-04-18 02:15:43.969600,7,7
Donna Henderson,1984-01-17 16:37:11.853853,6,8
Barbara Wu,2000-10-31 08:39:35.803491,6,8
Erica Nguyen,1972-01-12 06:27:21.052488,5,10
Kathleen Rodriguez,1988-12-04 05:36:55.322963,3,10
Amy Baker,1978-04-14 10:04:05.255172,6,6
Lindsay Murray,1981-06-28 00:00:12.303503,3,2
Dylan Jones,1989-02-23 20:17:18.302365,10,1
Anthony Stanton,1986-02-23 23:45:35.979598,9,7
Phillip Jones,1978-04-15 01:24:58.553895,3,5
Jason Harris,2005-06-27 06:42:18.843465,9,2
Elizabeth Nelson,1999-05-18 19:07:48.643585,9,1
Madison Peterson,2008-08-23 15:26:34.615110,8,10
Natasha Barajas,1975-02-01 13:06:57.344186,3,8
Brittany Larson,1974-11-17 01:38:19.626047,1,5
David Salinas,1977-11-01 07:37:28.931481,4,7
Jonathan Crawford,1991-01-20 18:46:42.220703,10,8
Chris Carlson,1991-02-17 00:32:24.508604,10,10
Amber Stevens,1992-02-02 12:43:22.335235,1,10
Andrew Perry,2016-07-01 04:55:35.887135,8,4
Lori Middleton,2008-11-08 07:29:34.361030,4,1
Thomas Ford,1986-02-18 21:06:52.724898,6,8
Joseph Hill,1987-06-26 03:24:03.333824,2,5
David Cook,1996-08-17 06:14:05.368516,6,7
Sarah Dalton,1993-12-04 14:18:43.468744,5,4
James Brewer,2016-07-08 14:54:59.583503,10,5
Norma Lowery,2009-04-15 04:33:03.542516,3,6
Kristen Schmidt,2007-12-27 16:18:37.401131,3,10
Gregory Carlson,1984-05-11 14:56:34.741513,3,5
Katherine Smith,1992-02-25 10:06:14.394181,3,2
Janet Potts MD,1985-11-11 02:59:47.979642,8,10
Connie Kelley,2022-11-14 02:18:45.645567,6,2
Taylor Martinez,2018-01-12 10:55:12.516905,10,6
Brandon Davenport,2017-04-29 02:51:07.435908,8,9
Erik Jones,1974-04-22 19:42:16.811266,10,5
Tammy Padilla,1999-09-03 23:56:09.154848,8,5
Jennifer Ortiz,1980-09-29 11:54:39.003800,4,5
Desiree Hamilton,2024-06-17 15:17:14.002861,6,5
Stacy Bruce,2022-08-18 23:07:48.111766,1,6
Bridget Collins,2008-06-15 23:28:21.847842,3,8
Danielle Hogan,1979-08-11 17:42:12.737201,9,8
Mrs. Nicole Anderson,1984-03-03 05:19:47.543407,3,7
Cathy Baker,1976-02-12 17:51:27.881079,8,9
James Hernandez,1970-03-18 15:59:59.337137,8,4
Jennifer Rivera,2024-02-16 09:27:23.393813,1,5
Melissa Moyer,2002-10-25 21:28:50.477166,9,9
Shannon Norman,1970-06-07 15:07:43.254434,1,7
Jennifer Stewart,1997-01-22 18:46:33.009708,3,5
Nathaniel Mccall,2011-09-09 12:00:00.471475,4,8
Stephen Oliver,2011-11-21 10:12:11.979596,10,6
Aaron Brooks,2017-05-09 14:49:29.194636,6,4
Jeanne Cooper,2015-07-05 11:26:30.732429,3,5
Matthew Fowler,1979-01-20 19:06:32.289125,7,5
Kimberly Wong,1972-03-14 19:56:16.270023,6,8
Mark Washington,1990-03-31 03:21:13.465095,2,8
James Koch,1990-04-21 11:28:38.660584,3,10
Brian Hansen,2018-12-11 09:27:20.110081,1,3
Joseph Gonzalez,1986-10-12 13:00:55.155761,5,8
Jason Edwards,1997-07-07 00:00:32.240669,2,2
Denise Jimenez,1970-03-15 07:49:21.630291,2,10
Sandy Morgan,1972-10-15 10:23:04.912069,4,8
Christopher Moore,2004-09-06 18:47:00.366157,8,2
John Tucker,2015-04-12 12:21:27.113489,3,2
Michael Acosta,2012-02-16 16:23:10.686216,5,6
Kristopher Smith,2010-07-04 12:54:02.531735,2,8
Mary Johnson,1976-12-24 00:23:22.535710,6,8
William Burke,1995-01-28 10:16:17.050828,1,5
Evelyn Trujillo,1977-05-23 18:50:20.421344,6,7
Kristen Powers,2014-06-16 22:35:04.481198,9,4
Lori Simpson,1974-02-16 05:40:50.052469,5,10
Tonya Mitchell,1989-07-08 13:03:58.857052,6,8
Bobby Lopez,2014-03-20 13:35:30.014679,9,7
Paula Peters,2010-07-07 19:23:51.942769,9,5
Kayla Perry,2021-01-18 04:53:58.003338,6,8
Amy Atkins,1977-11-18 10:25:13.517297,7,1
Sherry Larson,1996-09-12 12:53:45.333345,9,5
Ashley Gibbs,1970-01-05 11:16:16.130621,8,9
Kyle Hardin,2018-05-21 23:24:15.565145,1,6
Christian Murray,2016-11-19 02:36:21.264220,4,2
Tyrone Hatfield,2008-08-06 07:37:12.351206,7,3
Julie Thomas,1992-06-17 16:47:31.669624,6,10
David Glass,1977-06-03 07:02:58.879478,4,8
Janet Mejia,2000-06-01 04:36:40.288653,8,8
Louis Williams,2000-09-12 22:20:38.356628,2,9
Michael Simmons,2000-06-07 21:37:36.624409,10,1
Casey Mccarthy,2009-07-19 14:13:26.445995,4,2
Brandon Lewis,1973-05-10 10:37:27.702931,10,8
Rebecca Braun,1979-01-27 00:57:06.180086,5,9
Kathryn Wells,1976-06-08 10:01:05.192855,4,1
Madeline Gonzalez,2009-12-12 19:15:38.470427,10,4
Mary Lam,1978-05-26 20:08:04.468542,2,5
Brett Norris,1992-08-16 08:49:47.570533,6,6
Ashley Owens,1988-04-02 02:42:48.237555,6,8
Larry Hunt,2013-06-05 19:46:59.678975,3,1
Jamie Hudson,2009-03-26 06:53:44.080605,2,4
Sara Williams,2000-12-17 00:15:53.449908,10,9
Robert Perkins,2008-04-25 02:52:03.692033,7,6
Heather Black,1980-02-16 01:07:28.977018,5,8
Christopher Kelley,1993-08-19 06:42:56.820814,5,8
Dustin Higgins,1973-08-18 01:59:57.319031,9,9
Tiffany Clark,2006-10-24 07:36:36.650280,3,10
Danny Delgado,1996-10-27 07:33:03.790147,1,2
Kyle Sloan,1983-07-06 20:17:09.985223,1,5
Brandon Mejia MD,1990-11-30 10:38:26.076042,6,6
Michael Palmer,2002-02-11 05:06:27.141464,10,4
Dr. David Arnold,2007-10-02 08:31:05.412040,5,6
Tara Greene,1992-05-24 11:40:41.897250,4,5
Matthew Lester,1999-03-04 13:08:46.226806,3,5
Cynthia Johnson,2008-07-17 19:56:17.596469,3,5
Danny Nguyen,2002-05-03 20:23:42.612802,1,9
Jessica Gonzales,2017-10-24 12:08:14.397843,3,5
Brian Williams,1982-07-10 05:56:34.856852,7,1
Kimberly Osborne,2006-08-05 03:00:22.566007,9,4
Gregory Mitchell,2019-07-28 19:13:17.112953,4,7
Joseph Roberts,2006-03-16 20:51:50.665373,2,8
Catherine Walker,2012-02-15 08:22:30.348935,5,9
Mark Jones,1986-02-09 00:36:34.276255,1,3
Shelly Guerrero,1989-02-25 23:06:05.600366,2,4
Katherine Johnson,1979-04-09 22:46:11.561976,7,4
Amber Gibbs,1981-05-23 02:45:31.829371,6,2
Patty Pace,2008-05-01 04:04:26.841845,3,3
Matthew Bass,2000-12-03 00:18:50.362055,1,5
Kevin Rodriguez,1978-08-11 17:33:18.689618,8,7
